sample,exp_type,media,passage,comm,subject,mesocosm,type_mesocosm,contaminated_subject
D2-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,D2,AA,D2-AA-mBHI,AA-mBHI,False
D2-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D2,AA,D2-AA-mBHI,AA-mBHI,False
D3-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,D3,AC/PP,D3-AC/PP-mBHI,AC/PP-mBHI,True
D3-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D3,AC/PP,D3-AC/PP-mBHI,AC/PP-mBHI,True
D5-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,D5,AF,D5-AF-mBHI,AF-mBHI,False
D8-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,D8,AA,D8-AA-mGAM,AA-mGAM,False
D8-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D8,AA,D8-AA-mGAM,AA-mGAM,False
D9-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D9,AC/PP,D9-AC/PP-mGAM,AC/PP-mGAM,True
e003-inoculumn-fecal-AC,inoculumn,fecal,0,fecal,AC/PP,fecal-AC/PP-fecal,AC/PP-fecal,True
e003-inoculumn-fecal-AE,inoculumn,fecal,0,fecal,AE,fecal-AE-fecal,AE-fecal,False
e003-inoculumn-fecal-AF,inoculumn,fecal,0,fecal,AF,fecal-AF-fecal,AF-fecal,False
e003-inoculumn-fecal-inoculumn,inoculumn,fecal,0,fecal,AA,fecal-AA-fecal,AA-fecal,False
Assembly-G12-fecal-AA-fecal-0_S703,e003Assembly,fecal,0,fecal,AA,fecal-AA-fecal,AA-fecal,False
Assembly-G7-C3-ACPP-mBHI-3_S698,e003Assembly,mBHI,3,C3,AC/PP,C3-AC/PP-mBHI,AC/PP-mBHI,True
Assembly-G9-C9-ACPP-mGAM-3_S700,e003Assembly,mGAM,3,C9,AC/PP,C9-AC/PP-mGAM,AC/PP-mGAM,True
Assembly-G2-B3-ACPP-mBHI-3_S693,e003Assembly,mBHI,3,B3,AC/PP,B3-AC/PP-mBHI,AC/PP-mBHI,True
Assembly-G11-D9-ACPP-mGAM-3_S702,e003Assembly,mGAM,3,D9,AC/PP,D9-AC/PP-mGAM,AC/PP-mGAM,True
Assembly-G10-D5-AF-mBHI-3_S701,e003Assembly,mBHI,3,D5,AF,D5-AF-mBHI,AF-mBHI,False
Assembly-G4-B9-ACPP-mGAM-3_S695,e003Assembly,mGAM,3,B9,AC/PP,B9-AC/PP-mGAM,AC/PP-mGAM,True
Assembly-G5-C10-AE-mGAM-5_S696,e003Assembly,mGAM,5,C10,AE,C10-AE-mGAM,AE-mGAM,False
Assembly-G8-C4-AE-mBHI-3_S699,e003Assembly,mBHI,3,C4,AE,C4-AE-mBHI,AE-mBHI,False
Assembly-G3-B5-AF-mBHI-3_S694,e003Assembly,mBHI,3,B5,AF,B5-AF-mBHI,AF-mBHI,False
Assembly-G6-C2-AA-mBHI-3_S697,e003Assembly,mBHI,3,C2,AA,C2-AA-mBHI,AA-mBHI,False
C_B1_e003Assembly_6_S205,e003Assembly,mBHI,1,B2,AA,B2-AA-mBHI,AA-mBHI,False
C_B3_e003Assembly_6_S207,e003Assembly,mBHI,1,B4,AE,B4-AE-mBHI,AE-mBHI,False
C_B4_e003Assembly_6_S208,e003Assembly,mBHI,1,B5,AF,B5-AF-mBHI,AF-mBHI,False
C_B5_e003Assembly_6_S209,e003Assembly,mGAM,1,B8,AA,B8-AA-mGAM,AA-mGAM,False
C_B7_e003Assembly_6_S211,e003Assembly,mGAM,1,B10,AE,B10-AE-mGAM,AE-mGAM,False
C_B8_e003Assembly_6_S212,e003Assembly,mGAM,1,B11,AF,B11-AF-mGAM,AF-mGAM,False
C_B9_e003Assembly_4_S213,e003Assembly,mBHI,1,C2,AA,C2-AA-mBHI,AA-mBHI,False
C_B11_e003Assembly_4_S215,e003Assembly,mBHI,1,C4,AE,C4-AE-mBHI,AE-mBHI,False
C_B12_e003Assembly_4_S216,e003Assembly,mBHI,1,C5,AF,C5-AF-mBHI,AF-mBHI,False
C_F1_e003Assembly_6_S253,e003Assembly,mBHI,1,D2,AA,D2-AA-mBHI,AA-mBHI,False
C_F3_e003Assembly_6_S255,e003Assembly,mBHI,1,D4,AE,D4-AE-mBHI,AE-mBHI,False
C_F4_e003Assembly_6_S256,e003Assembly,mBHI,1,D5,AF,D5-AF-mBHI,AF-mBHI,False
C_F5_e003Assembly_6_S257,e003Assembly,mGAM,1,D8,AA,D8-AA-mGAM,AA-mGAM,False
C_F7_e003Assembly_6_S259,e003Assembly,mGAM,1,D10,AE,D10-AE-mGAM,AE-mGAM,False
C_F8_e003Assembly_6_S260,e003Assembly,mGAM,1,D11,AF,D11-AF-mGAM,AF-mGAM,False
C_F9_e003Assembly_4_S261,e003Assembly,mGAM,1,C8,AA,C8-AA-mGAM,AA-mGAM,False
C_F11_e003Assembly_4_S263,e003Assembly,mGAM,1,C10,AE,C10-AE-mGAM,AE-mGAM,False
C_F12_e003Assembly_4_S264,e003Assembly,mGAM,1,C11,AF,C11-AF-mGAM,AF-mGAM,False
D_B1_e003Assembly_S301,e003Assembly,mBHI,2,B2,AA,B2-AA-mBHI,AA-mBHI,False
D_B2_e003Assembly_S302,e003Assembly,mBHI,2,B3,AC/PP,B3-AC/PP-mBHI,AC/PP-mBHI,True
D_B3_e003Assembly_S303,e003Assembly,mBHI,2,B4,AE,B4-AE-mBHI,AE-mBHI,False
D_B4_e003Assembly_S304,e003Assembly,mBHI,2,B5,AF,B5-AF-mBHI,AF-mBHI,False
D_B5_e003Assembly_S305,e003Assembly,mGAM,2,B8,AA,B8-AA-mGAM,AA-mGAM,False
D_B6_e003Assembly_S306,e003Assembly,mGAM,2,B9,AC/PP,B9-AC/PP-mGAM,AC/PP-mGAM,True
D_B7_e003Assembly_S307,e003Assembly,mGAM,2,B10,AE,B10-AE-mGAM,AE-mGAM,False
D_B8_e003Assembly_S308,e003Assembly,mGAM,2,B11,AF,B11-AF-mGAM,AF-mGAM,False
D_B9_e003Assembly_S309,e003Assembly,mBHI,2,C2,AA,C2-AA-mBHI,AA-mBHI,False
D_B10_e003Assembly_S310,e003Assembly,mBHI,2,C3,AC/PP,C3-AC/PP-mBHI,AC/PP-mBHI,True
D_B11_e003Assembly_S311,e003Assembly,mBHI,2,C4,AE,C4-AE-mBHI,AE-mBHI,False
D_B12_e003Assembly_S312,e003Assembly,mBHI,2,C5,AF,C5-AF-mBHI,AF-mBHI,False
D_F1_e003Assembly_S349,e003Assembly,mBHI,2,D2,AA,D2-AA-mBHI,AA-mBHI,False
D_F2_e003Assembly_S350,e003Assembly,mBHI,2,D3,AC/PP,D3-AC/PP-mBHI,AC/PP-mBHI,True
D_F3_e003Assembly_S351,e003Assembly,mBHI,2,D4,AE,D4-AE-mBHI,AE-mBHI,False
D_F4_e003Assembly_S352,e003Assembly,mBHI,2,D5,AF,D5-AF-mBHI,AF-mBHI,False
D_F5_e003Assembly_S353,e003Assembly,mGAM,2,D8,AA,D8-AA-mGAM,AA-mGAM,False
D_F6_e003Assembly_S354,e003Assembly,mGAM,2,D9,AC/PP,D9-AC/PP-mGAM,AC/PP-mGAM,True
D_F7_e003Assembly_S355,e003Assembly,mGAM,2,D10,AE,D10-AE-mGAM,AE-mGAM,False
D_F8_e003Assembly_S356,e003Assembly,mGAM,2,D11,AF,D11-AF-mGAM,AF-mGAM,False
D_F9_e003Assembly_S357,e003Assembly,mGAM,2,C8,AA,C8-AA-mGAM,AA-mGAM,False
D_F10_e003Assembly_S358,e003Assembly,mGAM,2,C9,AC/PP,C9-AC/PP-mGAM,AC/PP-mGAM,True
D_F11_e003Assembly_S359,e003Assembly,mGAM,2,C10,AE,C10-AE-mGAM,AE-mGAM,False
D_F12_e003Assembly_S360,e003Assembly,mGAM,2,C11,AF,C11-AF-mGAM,AF-mGAM,False
C_A2_e003Assembly_S194,e003Assembly,mBHI,4,B2,AA,B2-AA-mBHI,AA-mBHI,False
C_A6_e003Assembly_S198,e003Assembly,mBHI,4,C2,AA,C2-AA-mBHI,AA-mBHI,False
C_A10_E3_ACPP_AA_mBHI_mBHI_4_S202,e003Assembly,mBHI,4,D2,AA,D2-AA-mBHI,AA-mBHI,False
C_C2_e003Assembly_S218,e003Assembly,mBHI,4,B4,AE,B4-AE-mBHI,AE-mBHI,False
C_C6_e003Assembly_S222,e003Assembly,mBHI,4,C4,AE,C4-AE-mBHI,AE-mBHI,False
C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,e003Assembly,mBHI,4,D4,AE,D4-AE-mBHI,AE-mBHI,False
C_D2_e003Assembly_S230,e003Assembly,mBHI,4,B5,AF,B5-AF-mBHI,AF-mBHI,False
C_D6_e003Assembly_S234,e003Assembly,mBHI,4,C5,AF,C5-AF-mBHI,AF-mBHI,False
C_D10_H3_ACPP_AF_mBHI_mBHI_4_S238,e003Assembly,mBHI,4,D5,AF,D5-AF-mBHI,AF-mBHI,False
C_E2_e003Assembly_S242,e003Assembly,mGAM,4,B8,AA,B8-AA-mGAM,AA-mGAM,False
C_E6_e003Assembly_S246,e003Assembly,mGAM,4,C8,AA,C8-AA-mGAM,AA-mGAM,False
C_E10_E3_ACPP_AA_mBHI_mGAM_4_S250,e003Assembly,mGAM,4,D8,AA,D8-AA-mGAM,AA-mGAM,False
C_G2_e003Assembly_S266,e003Assembly,mGAM,4,B10,AE,B10-AE-mGAM,AE-mGAM,False
C_G6_e003Assembly_S270,e003Assembly,mGAM,4,C10,AE,C10-AE-mGAM,AE-mGAM,False
C_G10_G3_ACPP_AE_mBHI_mGAM_4_S274,e003Assembly,mGAM,4,D10,AE,D10-AE-mGAM,AE-mGAM,False
C_H2_e003Assembly_S278,e003Assembly,mGAM,4,B11,AF,B11-AF-mGAM,AF-mGAM,False
C_H6_e003Assembly_S282,e003Assembly,mGAM,4,C11,AF,C11-AF-mGAM,AF-mGAM,False
C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,e003Assembly,mGAM,4,D11,AF,D11-AF-mGAM,AF-mGAM,False
